transactionID,customerID,currency,Customer Contract End Date,latlng,text
1,1000,$62.80 ,11/8/2023,"52.7693512704, 82.1641965568",tv
2,998,$18.72 ,4/16/2025,"-5.1191131136, -107.3407197184",hub
3,996,$73.44 ,7/7/2023,"10.6101700608, 124.6481490944",hub
4,994,$4.03 ,7/28/2023,"-74.9111310336, 31.5169154048",hub
5,992,$2.29 ,5/12/2025,"66.2578446336, -78.5314320384",
6,990,$69.82 ,7/29/2024,"30.3578046464, -60.4260616192",tv
7,988,$36.65 ,12/26/2024,"46.923191808, 157.1426640896",wifi
8,986,$37.67 ,8/29/2024,"-24.9926209536, -62.3541551104",wifi
9,984,$94.02 ,2/19/2025,"-30.7860226048, 45.4155344896",switch
10,982,$23.17 ,11/13/2023,"-31.4740994048, -52.2036124672",cell
11,980,$30.39 ,11/6/2024,"-88.6914890752, -103.9165694976",tv
12,978,$48.76 ,12/16/2024,"-40.5865549824, -41.5469425664",switch
13,976,$26.89 ,9/14/2023,"28.7350320128, 176.3625048064",hub
14,974,$52.34 ,1/16/2024,"-46.7393287168, -54.111674368",switch
15,972,$38.58 ,3/16/2024,"-56.1427475456, 47.691726848",tv
16,970,$57.95 ,2/23/2025,"-28.9008497664, 65.7851608064",
17,968,$43.58 ,9/24/2024,"-67.6758047744, 37.1640086528",wifi
18,966,$13.54 ,10/29/2024,"-29.5779888128, 5.553430016",wifi
19,964,$67.50 ,12/2/2023,"39.8613474304, 9.6060307456",switch
20,962,$21.86 ,11/20/2023,"-13.278408192, -76.3134111744",switch
21,960,$33.87 ,9/13/2023,"-48.3802459136, 82.6642992128",wifi
22,958,$47.31 ,6/21/2023,"24.4928842752, 118.2896574464",cell
23,956,$66.15 ,9/7/2023,"78.6462220288, -50.0723617792",wifi
24,954,$81.22 ,9/7/2023,"26.678239744, -124.0839728128",cell
25,952,$92.96 ,9/20/2023,"-56.0355371008, 88.3937929216",tv
26,950,$80.17 ,4/4/2025,"-89.3888950272, -16.2301201408",tv
27,948,$16.99 ,4/11/2025,"-72.2760823808, 5.2609033216",switch
28,946,$0.94 ,12/17/2023,"7.2221817856, 84.6061725696",cell
29,944,$56.88 ,3/10/2024,"-76.7736165376, -1.7245611008",hub
30,942,$75.39 ,6/6/2025,"82.0186814464, -113.5019597824",hub
31,940,$38.67 ,7/19/2024,"-19.996324864, 54.4811117568",switch
32,938,$97.65 ,12/10/2024,"-32.7508110336, 167.9858494464",switch
33,936,$80.81 ,11/10/2023,"37.5635163136, 10.2989524992",cell
34,934,$5.05 ,3/11/2025,"56.3820480512, -21.1636525056",hub
35,932,$67.13 ,10/20/2023,"-59.7558286336, 122.9003855872",wifi
36,930,$82.93 ,1/16/2025,"-86.3163834368, -64.7562283008",wifi
37,928,$16.63 ,2/27/2024,"9.96541184, 163.2119109632",switch
38,926,$75.06 ,2/15/2024,"70.0682601472, -159.950161408",tv
39,924,$2.11 ,8/6/2024,"60.2410673152, -117.0773520384",switch
40,922,$77.82 ,1/16/2025,"-22.3908320256, 115.306389504",hub
41,920,$70.96 ,2/24/2025,"-56.9234357248, -76.2928082944",hub
42,918,$23.37 ,5/30/2025,"-6.7077527552, 19.8891461632",hub
43,916,$5.44 ,2/7/2025,"-28.5299130368, 90.3191656448",switch
44,914,$76.26 ,9/28/2023,"71.2092471296, 0.9791843328",switch
45,912,$79.70 ,12/16/2024,"88.2883986432, -123.9550772224",tv
46,910,$40.87 ,10/10/2023,"-78.939646464, 20.1611415552",tv
47,908,$16.14 ,9/6/2023,"83.3047228416, 115.702929408",cell
48,906,$96.38 ,1/17/2024,"68.4620926976, -132.8532425728",hub
49,904,$89.62 ,8/17/2023,"-78.3988277248, -98.2460955648",tv
50,902,$68.06 ,10/6/2023,"44.9224216576, -13.773467136",switch
51,900,$28.53 ,2/27/2025,"10.504866816, -19.4992929792",hub
52,898,$20.66 ,8/29/2024,"39.2668596224, 59.2492434432",hub
53,896,$15.30 ,4/28/2024,"-52.1593274368, -97.5411853312",switch
54,894,$25.72 ,6/9/2024,"-46.1365014528, -72.1758721024",hub
55,892,$46.53 ,12/3/2023,"-20.4595027968, 78.038317568",tv
56,890,$88.62 ,8/6/2024,"45.1501626368, 148.7221220352",
57,888,$40.07 ,3/31/2025,"29.1657936896, 1.9197645824",hub
58,886,$88.19 ,5/25/2024,"-12.6493990912, 122.4622057472",
59,884,$33.29 ,3/22/2024,"42.2851972096, -111.15716352",
60,882,$74.58 ,8/6/2023,"-9.5087099904, 101.4452880384",
61,880,$96.48 ,2/19/2025,"-20.774806528, 164.4843593728",wifi
62,878,$91.36 ,9/18/2023,"-41.0968747008, 60.037240832",hub
63,876,$59.47 ,11/1/2023,"-33.3763629056, -118.9501840384",switch
64,874,$68.34 ,2/13/2024,"-54.0284167168, 172.3460864",switch
65,872,$36.35 ,5/9/2025,"52.3671651328, 78.5303631872",wifi
66,870,$52.63 ,3/4/2025,"68.4743630848, -168.1194289152",hub
67,868,$17.21 ,11/30/2024,"-29.2470700032, 41.5621274624",hub
68,866,$23.34 ,9/11/2023,"83.9472892928, 13.8755559424",wifi
69,864,$79.63 ,11/6/2024,"-37.0470955008, 34.0450152448",wifi
70,862,$56.90 ,7/8/2024,"89.5674814464, -104.3675713536",hub
71,860,$45.33 ,4/7/2025,"36.7514883072, -174.3234792448",
72,858,$83.42 ,9/18/2023,"-69.1824815104, 93.30297344",cell
73,856,$62.41 ,4/23/2025,"41.2014641152, -164.5936297984",hub
74,854,$6.09 ,12/5/2023,"33.3614685184, 67.828348928",wifi
75,852,$39.61 ,10/7/2024,"-78.1088649216, 21.8000586752",cell
76,850,$98.29 ,3/28/2024,"-61.4435780608, -128.9956063232",wifi
77,848,$3.30 ,2/13/2024,"-73.9015294976, -71.18606336",wifi
78,846,$77.95 ,9/24/2023,"-41.8757817344, -115.1003199488",switch
79,844,$59.83 ,8/19/2023,"-22.4474278912, -162.556532224",hub
80,842,$50.43 ,7/27/2024,"19.7554336768, -71.3984786432",tv
81,840,$78.04 ,4/18/2025,"30.364740608, -150.6234190848",switch
82,838,$80.96 ,4/21/2025,"-46.9018469376, 11.963365888",
83,836,$92.72 ,10/6/2024,"-15.5979711488, 103.9826842624",tv
84,834,$11.93 ,3/16/2024,"-58.62550272, -77.186307584",wifi
85,832,$71.09 ,7/13/2024,"49.0629807104, -140.23672064",tv
86,830,$25.56 ,3/2/2024,"78.749210624, -80.5103570944",
87,828,$52.70 ,2/11/2024,"8.5491045376, 127.5535038464",switch
88,826,$15.54 ,3/12/2024,"66.2325281792, -46.560472576",cell
89,824,$10.23 ,7/4/2024,"-83.9210515456, -65.8732496896",hub
90,822,$30.68 ,8/12/2023,"-41.567628288, 166.1188555776",tv
91,820,$99.15 ,9/5/2024,"39.6716317696, 84.283803136",cell
92,818,$6.97 ,4/4/2025,"43.223385088, 178.65065472",hub
93,816,$11.92 ,8/26/2024,"19.4456044544, 64.5288757248",switch
94,814,$14.73 ,4/13/2024,"11.883551744, -22.1348632576",switch
